Species*,Exp*,Trt*,IrrDate,IrrAmount
cocoa,KOKOlatl,1,19210,7
cocoa,KOKOlatl,1,19211,7
cocoa,KOKOlatl,1,19212,7
cocoa,KOKOlatl,1,19213,7
cocoa,KOKOlatl,1,19214,7
cocoa,KOKOlatl,1,19215,7
cocoa,KOKOlatl,1,19216,7
cocoa,KOKOlatl,1,19217,7
cocoa,KOKOlatl,1,19218,7
cocoa,KOKOlatl,1,19219,7
cocoa,KOKOlatl,1,19220,7
cocoa,KOKOlatl,1,19221,7
cocoa,KOKOlatl,1,19222,7
cocoa,KOKOlatl,1,19223,7
cocoa,KOKOlatl,1,19224,7
cocoa,KOKOlatl,1,19225,7
cocoa,KOKOlatl,1,19226,7
cocoa,KOKOlatl,1,19227,7
cocoa,KOKOlatl,1,19228,7
cocoa,KOKOlatl,1,19229,7
cocoa,KOKOlatl,1,19230,7
cocoa,KOKOlatl,1,19231,7
cocoa,KOKOlatl,1,19232,7
cocoa,KOKOlatl,1,19233,7
cocoa,KOKOlatl,1,19234,7
cocoa,KOKOlatl,1,19235,7
cocoa,KOKOlatl,1,19236,7
cocoa,KOKOlatl,1,19237,7
cocoa,KOKOlatl,1,19238,7
cocoa,KOKOlatl,1,19239,7
cocoa,KOKOlatl,1,19240,7
cocoa,KOKOlatl,1,19241,7
cocoa,KOKOlatl,1,19242,7
cocoa,KOKOlatl,1,19243,7
cocoa,KOKOlatl,1,19244,7
cocoa,KOKOlatl,1,19245,7
cocoa,KOKOlatl,1,19246,7
cocoa,KOKOlatl,1,19247,7
cocoa,KOKOlatl,1,19248,7
cocoa,KOKOlatl,1,19249,7
cocoa,KOKOlatl,1,19250,7
cocoa,KOKOlatl,1,19251,7
cocoa,KOKOlatl,1,19252,7
cocoa,KOKOlatl,1,19253,7
cocoa,KOKOlatl,1,19254,7
cocoa,KOKOlatl,1,19255,7
cocoa,KOKOlatl,1,19256,7
cocoa,KOKOlatl,1,19257,7
cocoa,KOKOlatl,1,19258,7
cocoa,KOKOlatl,1,19259,7
cocoa,KOKOlatl,1,19260,7
cocoa,KOKOlatl,1,19261,7
cocoa,KOKOlatl,1,19262,7
cocoa,KOKOlatl,1,19263,7
cocoa,KOKOlatl,1,19264,7
cocoa,KOKOlatl,1,19265,7
cocoa,KOKOlatl,1,19266,7
cocoa,KOKOlatl,1,19267,7
