Species*,Exp*,Trt*,IrrDate,IrrAmount
wheat,HSCE0701,11,7283,9.5
wheat,HSCE0701,11,7284,26
wheat,HSCE0701,11,7285,43.8
wheat,HSCE0701,11,7292,37.9
wheat,HSCE0701,11,7298,50.7
wheat,HSCE0701,11,7299,36.7
wheat,HSCE0701,11,7306,36.2
wheat,HSCE0701,11,7306,4
wheat,HSCE0701,11,7313,23.6
wheat,HSCE0701,11,7313,2.7
wheat,HSCE0701,11,7320,23.4
wheat,HSCE0701,11,7320,2.2
wheat,HSCE0701,11,7327,23.7
wheat,HSCE0701,11,7327,2.7
wheat,HSCE0701,11,7362,34.7
wheat,HSCE0701,11,7362,4.5
wheat,HSCE0701,11,8011,4
wheat,HSCE0701,11,8011,30.2
wheat,HSCE0701,11,8025,30.2
wheat,HSCE0701,11,8038,30.3
wheat,HSCE0701,11,8038,3.8
wheat,HSCE0701,12,7269,26.5
wheat,HSCE0701,12,7270,52.7
wheat,HSCE0701,12,7271,39.9
wheat,HSCE0701,12,7274,1.7
wheat,HSCE0701,12,7277,20.6
wheat,HSCE0701,12,7278,31.2
wheat,HSCE0701,12,7283,15.7
wheat,HSCE0701,12,7283,9.5
wheat,HSCE0701,12,7284,26
wheat,HSCE0701,12,7285,43.8
wheat,HSCE0701,12,7292,37.3
wheat,HSCE0701,12,7298,50.9
wheat,HSCE0701,12,7299,37
wheat,HSCE0701,12,7306,36.9
wheat,HSCE0701,12,7306,8
wheat,HSCE0701,12,7313,25
wheat,HSCE0701,12,7313,2.7
wheat,HSCE0701,12,7320,24
wheat,HSCE0701,12,7320,2.2
wheat,HSCE0701,12,7327,24.1
wheat,HSCE0701,12,7327,2.7
wheat,HSCE0701,12,7362,35.1
wheat,HSCE0701,12,7362,4.8
wheat,HSCE0701,12,8011,4.2
wheat,HSCE0701,12,8011,30.2
wheat,HSCE0701,12,8025,30.5
wheat,HSCE0701,12,8038,29.2
wheat,HSCE0701,12,8038,3.7
wheat,HSCE0701,13,7305,90.8
wheat,HSCE0701,13,7306,88.7
wheat,HSCE0701,13,7310,23.2
wheat,HSCE0701,13,7316,12.1
wheat,HSCE0701,13,7320,8.5
wheat,HSCE0701,13,7323,8.2
wheat,HSCE0701,13,7325,33.9
wheat,HSCE0701,13,7362,34.3
wheat,HSCE0701,13,8011,30.6
wheat,HSCE0701,13,8025,29.9
wheat,HSCE0701,13,8038,30.2
wheat,HSCE0701,13,8043,22.2
wheat,HSCE0701,13,8052,37.5
wheat,HSCE0701,13,8059,30
wheat,HSCE0701,13,8070,36
wheat,HSCE0701,13,8074,32.5
wheat,HSCE0701,13,8081,40
wheat,HSCE0701,13,8087,42.1
wheat,HSCE0701,13,8095,49.5
wheat,HSCE0701,13,8101,55.1
wheat,HSCE0701,13,8108,45.9
wheat,HSCE0701,14,8004,24.1
wheat,HSCE0701,14,8005,48
wheat,HSCE0701,14,8010,30.6
wheat,HSCE0701,14,8011,21.5
wheat,HSCE0701,14,8018,37.6
wheat,HSCE0701,14,8025,36.9
wheat,HSCE0701,14,8038,15.7
wheat,HSCE0701,14,8044,22.2
wheat,HSCE0701,14,8045,9
wheat,HSCE0701,14,8053,22
wheat,HSCE0701,14,8059,66.4
wheat,HSCE0701,14,8067,48.6
wheat,HSCE0701,14,8073,17
wheat,HSCE0701,14,8074,15.9
wheat,HSCE0701,14,8081,39.4
wheat,HSCE0701,14,8088,48.4
wheat,HSCE0701,14,8094,59.5
wheat,HSCE0701,14,8101,58
wheat,HSCE0701,14,8108,56.2
wheat,HSCE0701,14,8115,45.4
wheat,HSCE0701,14,8122,87.8
wheat,HSCE0701,14,8129,57.8
wheat,HSCE0701,15,8004,24.3
wheat,HSCE0701,15,8005,56.8
wheat,HSCE0701,15,8010,35.9
wheat,HSCE0701,15,8011,21.2
wheat,HSCE0701,15,8018,37.5
wheat,HSCE0701,15,8025,29.9
wheat,HSCE0701,15,8038,17.9
wheat,HSCE0701,15,8044,22.4
wheat,HSCE0701,15,8045,13.8
wheat,HSCE0701,15,8053,22.4
wheat,HSCE0701,15,8059,44.9
wheat,HSCE0701,15,8067,49.8
wheat,HSCE0701,15,8073,16.9
wheat,HSCE0701,15,8074,16.2
wheat,HSCE0701,15,8081,40.4
wheat,HSCE0701,15,8088,48.2
wheat,HSCE0701,15,8094,58.8
wheat,HSCE0701,15,8101,58.5
wheat,HSCE0701,15,8108,61
wheat,HSCE0701,15,8115,53.8
wheat,HSCE0701,15,8122,72.8
wheat,HSCE0701,15,8129,59.6
