YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2018,12,1,2.71,1.15,22.17,18.01,26.92,18.62,0,79.06,01 December 2018
2018,12,2,2.64,1.19,22.26,18.03,27.05,18.83,0,78.31,02 December 2018
2018,12,3,2.64,1.12,21.62,18.41,25.72,19.05,5.27,83.25,03 December 2018
2018,12,4,2.49,1.24,21.74,18.76,26.41,18.56,5.27,84.69,04 December 2018
2018,12,5,2.5,1.32,21.65,18.28,26.48,17.17,0,82.94,05 December 2018
2018,12,6,2.62,1.32,22.55,18.96,27.15,19.37,0,81.94,06 December 2018
2018,12,7,2.88,1.12,21.81,18.32,25.87,19.32,10.55,81.94,07 December 2018
2018,12,8,2.69,1.27,21.68,18.74,26.65,17.44,0,85.19,08 December 2018
2018,12,9,2.57,1.15,22.45,19.28,27.04,18.91,0,83.81,09 December 2018
2018,12,10,2.28,1.37,22.35,19.17,26.4,19.51,0,83.5,10 December 2018
2018,12,11,2.05,1.31,22.4,19.28,26.29,19.09,0,83.81,11 December 2018
2018,12,12,2.12,1.24,22.71,19.94,26.49,19.64,0,85.75,12 December 2018
2018,12,13,2.3,1.3,23.27,20.01,26.95,20.48,0,83.19,13 December 2018
2018,12,14,2.75,1.21,22.08,18.73,25.91,19.33,0,82.62,14 December 2018
2018,12,15,2.77,1.21,22.1,17.16,26,18.98,0,75.25,15 December 2018
2018,12,16,2.73,1.28,21.82,17.82,26.29,18.26,0,79.56,16 December 2018
2018,12,17,2.83,1.31,22.06,17.05,26.6,17.82,0,75,17 December 2018
2018,12,18,2.63,1.32,22.56,19.34,26.84,19.06,0,83.38,18 December 2018
2018,12,19,2.87,1.42,22.93,19.19,27.6,19.5,0,81.31,19 December 2018
2018,12,20,2.6,1.3,22.4,19.05,26.93,19.01,5.27,82.56,20 December 2018
2018,12,21,2.74,1.24,22.62,18.51,27.84,18.66,0,79.62,21 December 2018
2018,12,22,2.52,1.12,22.5,17.14,27.19,19.63,0,73,22 December 2018
2018,12,23,2.9,1.27,22.08,17.36,26.7,18.8,0,75.81,23 December 2018
2018,12,24,2.74,1.22,22.21,16.5,26.78,19.17,0,71.62,24 December 2018
2018,12,25,2.8,1.23,22.01,15.79,26.48,18.83,0,68.81,25 December 2018
2018,12,26,2.43,1.23,21.81,17.68,26.19,19.01,0,78.69,26 December 2018
2018,12,27,2.65,1.22,21.89,17.33,26.74,18.73,0,76.5,27 December 2018
2018,12,28,2.67,0.98,22.36,18.22,26.94,19.31,0,78.62,28 December 2018
2018,12,29,2.68,1.03,22,17.78,26.52,19.52,0,78.06,29 December 2018
2018,12,30,2.87,1.18,21.8,17.01,26.79,18.26,0,75.69,30 December 2018
2018,12,31,2.78,1.16,22.7,17,27.47,19.16,0,71.56,31 December 2018
2019,1,1,2.52,1.16,22.58,17.14,27.25,19.41,0,72.75,01 January 2019
2019,1,2,2.61,1.24,22.42,16.96,26.98,19.3,0,72.44,02 January 2019
2019,1,3,2.29,1.32,22.84,18.23,27.78,19.46,0,76.69,03 January 2019
2019,1,4,2.63,1.16,23.49,18.98,28,20.62,0,76.94,04 January 2019
2019,1,5,2.43,1.22,23.76,19.01,28.06,20.49,0,76.12,05 January 2019
2019,1,6,2.49,1.2,23.05,18.73,27.1,19.97,0,77.94,06 January 2019
2019,1,7,2.28,1.14,23.12,17.96,27.1,19.64,0,74.69,07 January 2019
2019,1,8,1.77,1.25,23.5,17.73,28.63,19.62,0,71.44,08 January 2019
2019,1,9,1.86,1.05,23.37,18.22,28.19,19.91,0,74.69,09 January 2019
2019,1,10,1.63,0.93,22.7,18.96,26.84,20.42,10.55,80.75,10 January 2019
2019,1,11,2.17,1.05,23.1,18.94,27.9,19.73,5.27,79.62,11 January 2019
2019,1,12,1.75,1.26,22.73,18.65,26.9,20.23,5.27,78.94,12 January 2019
2019,1,13,1.91,1.18,22.57,18.16,27.05,19.58,0,77.62,13 January 2019
2019,1,14,2.59,1.36,22.94,16.4,27.79,18.98,0,68.25,14 January 2019
2019,1,15,2.88,1.32,23.35,16.15,28.57,19.09,0,65.81,15 January 2019
2019,1,16,2.65,1.26,23.3,17.1,27.98,19.47,0,69.56,16 January 2019
